,Unnamed: 0,Domain Code,Domain,Area Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Value Extended,Region,Sub Region,Count,Rate,CCM
760,17051,TA,Live animals,79,Germany,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,292094.0,,Official data,292094000.0,Europe,Western Europe,1348955,1650.950315152941,394021661.77
764,17052,TA,Live animals,79,Germany,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,333700.0,,Official data,333700000.0,Europe,Western Europe,1290481,1576.1729250992603,430633509.7
784,17707,TA,Live animals,84,Greece,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,4050.0,,Official data,4050000.0,Europe,Southern Europe,94082,835.1911977264249,381032.1
788,17708,TA,Live animals,84,Greece,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,4286.0,,Official data,4286000.0,Europe,Southern Europe,100805,898.6164845156804,432050.23
792,17709,TA,Live animals,84,Greece,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,3605.0,,Official data,3605000.0,Europe,Southern Europe,101777,909.1489070266277,366906.085
910,19352,TA,Live animals,97,Hungary,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,72443.0,,Official data,72443000.0,Europe,Eastern Europe,106939,1089.731472532019,7746981.977
914,19353,TA,Live animals,97,Hungary,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,76224.0,,Official data,76224000.0,Europe,Eastern Europe,111326,1137.8460076094204,8485713.024
918,19354,TA,Live animals,97,Hungary,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,80128.0,,Official data,80128000.0,Europe,Eastern Europe,93592,959.7810199591013,7499339.776
990,20882,TA,Live animals,104,Ireland,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,31017.0,,Official data,31017000.0,Europe,Northern Europe,77697,1657.9438099654167,2409927.849
994,20883,TA,Live animals,104,Ireland,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,33416.0,,Official data,33416000.0,Europe,Northern Europe,75864,1614.0909132494219,2535071.424
998,20884,TA,Live animals,104,Ireland,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,32923.0,,Official data,32923000.0,Europe,Northern Europe,64981,1371.577220297747,2139369.463
1026,21581,TA,Live animals,106,Italy,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,16834.0,,Official data,16834000.0,Europe,Southern Europe,1121757,1882.5953247683656,18883657.338
1030,21582,TA,Live animals,106,Italy,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,15776.0,,Official data,15776000.0,Europe,Southern Europe,1045374,1756.8067282363138,16491820.224
1174,24170,TA,Live animals,119,Latvia,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,1069.0,,Official data,1069000.0,Europe,Northern Europe,20578,1020.6708413416827,21997.882
1178,24171,TA,Live animals,119,Latvia,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,1695.0,,Official data,1695000.0,Europe,Northern Europe,19387,972.9191539161413,32860.965
1182,24172,TA,Live animals,119,Latvia,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,1591.0,,Official data,1591000.0,Europe,Northern Europe,14570,738.5695838492421,23180.87
1226,25238,TA,Live animals,126,Lithuania,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,1331.0,,Official data,1331000.0,Europe,Northern Europe,27895,941.811289310788,37128.245
1230,25239,TA,Live animals,126,Lithuania,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,297.0,,Official data,297000.0,Europe,Northern Europe,22783,777.065996890781,6766.551
1234,25240,TA,Live animals,126,Lithuania,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,2490.0,,Official data,2490000.0,Europe,Northern Europe,19963,684.5960437529677,49707.87
1254,25598,TA,Live animals,256,Luxembourg,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,163.0,,Official data,163000.0,Europe,Western Europe,10259,1844.0958016666787,1672.217
