,Unnamed: 0,Domain Code,Domain,Area Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Value Extended,Region,Sub Region,Count,Rate,CCM
86,1775,TA,Live animals,10,Australia,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,106.0,,Official data,106000.0,Oceania,Australia and New Zealand,535556,2281.42097685897,56768.936
88,1776,TA,Live animals,10,Australia,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,167.0,,Official data,167000.0,Oceania,Australia and New Zealand,561174,2357.9179376287525,93716.058
90,1777,TA,Live animals,10,Australia,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,216.0,,Official data,216000.0,Oceania,Australia and New Zealand,593369,2460.1446728538567,128167.704
